gene	measurement	outlier_threshold1	percent_accurate_mean1	outlier_threshold2	percent_accurate_mean2	outlier_threshold3	percent_accurate_mean3	outlier_threshold4	percent_accurate_mean4
EME1	5.87405920314	6.0485063791275	NA	4.39059510827065	NA	NA	NA	5.15389037132263	NA
ENSA	8.24093440226	8.68421548604965	NA	8.20887649059296	NA	NA	NA	8.17400717735291	NA
ERAL1	6.80877115933	6.47068512439728	NA	6.63951444625854	NA	NA	NA	6.654625415802	NA
ERVK3-1	7.30915799357	6.37703704833984	NA	6.94164478778839	NA	NA	NA	6.74275255203247	NA
EXOSC1	5.98025384599	6.07453626394272	NA	5.57430696487427	NA	NA	NA	5.92866182327271	NA
EXOSC3	6.27295630794	5.7373389005661	NA	5.24354547262192	NA	NA	NA	5.83522200584412	NA
FAM126A	5.94813357784	6.31409379839897	NA	5.8630006313324	NA	NA	NA	5.73145842552185	NA
FAM136A	6.71094415458	6.26028442382812	NA	5.56728398799896	NA	NA	NA	6.37451696395874	NA
FAM177A1	6.81813476081	7.05929309129715	NA	6.61828303337097	NA	NA	NA	6.70038175582886	NA
FAM50A	7.56635853269	8.61923629045486	NA	7.36688029766083	NA	NA	NA	7.41902995109558	NA
FAM98A	6.19239145691	6.26746153831482	NA	6.10314905643463	NA	NA	NA	6.18279957771301	NA
FARSB	5.82807299787	5.69386148452759	NA	5.65786194801331	NA	NA	NA	5.62333655357361	NA
FBRS	6.27482073704	6.51531100273132	NA	6.12134075164795	NA	NA	NA	6.27130174636841	NA
FHOD1	5.8321305011	6.69064596295357	NA	5.67307358980179	NA	NA	NA	5.72336077690125	NA
FIP1L1	7.15370401967	6.61964160203934	NA	6.72311663627625	NA	NA	NA	6.8236072063446	NA
FKBP4	7.5491300614	7.41368299722672	NA	6.55085074901581	NA	NA	NA	6.69580602645874	NA
FLAD1	6.49057013045	6.16735684871674	NA	5.9938600063324	NA	NA	NA	6.22026610374451	NA
FLII	8.2427930236	9.4500560760498	NA	8.00550997257233	NA	NA	NA	7.95893788337708	NA
FOXC1	5.86220339905	6.5263375043869	NA	3.8053483068943	NA	NA	NA	4.79027950763702	NA
FOXP4	7.12111903912	7.12297466397285	NA	5.17488825321198	NA	NA	NA	6.16377925872803	NA
FTSJ1	6.09845324631	6.91807401180267	NA	5.89188408851624	NA	NA	NA	5.94215393066406	NA
FTSJ2	6.73809225962	6.01065254211426	NA	5.80012083053589	NA	NA	NA	5.92556476593018	NA
FTSJ3	6.27556583456	6.43066281080246	NA	6.11293387413025	NA	NA	NA	6.1729850769043	NA
GALE	6.30524096595	5.70221534371376	NA	5.72924470901489	NA	NA	NA	5.76179981231689	NA
GARS	8.42618087465	8.68491166830063	NA	7.52852392196655	NA	NA	NA	7.90424346923828	NA
GEMIN2	6.50446149653	5.40789371728897	NA	5.00505387783051	NA	NA	NA	5.07953381538391	NA
GET4	7.02890061573	6.88491922616959	NA	6.35981738567352	NA	NA	NA	6.39933562278748	NA
GGA2	6.41920177385	7.25315654277802	NA	5.79790204763412	NA	NA	NA	6.10147166252136	NA
GGCT	8.16369998708	6.81450325250626	NA	6.65652644634247	NA	NA	NA	6.69878196716309	NA
GMPR2	7.02812708232	7.0793149471283	NA	6.79685091972351	NA	NA	NA	7.02043294906616	NA
GNPDA1	6.57031112432	6.62436032295227	NA	6.40153408050537	NA	NA	NA	6.49433040618896	NA
GPATCH4	6.35438163211	5.93534713983536	NA	5.9499454498291	NA	NA	NA	6.02829074859619	NA
GPC3	8.71417681627	13.6786153316498	NA	3.17516899108887	NA	NA	NA	7.24983966350555	NA
GRPEL1	5.8696246862	5.92055666446686	NA	5.64357769489288	NA	NA	NA	5.81385946273804	NA
GTF2E2	5.9267110991	5.87239164113998	NA	5.02540415525436	NA	NA	NA	5.79374742507935	NA
GTF2H4	6.33485426933	6.03985029459	NA	5.93851661682129	NA	NA	NA	5.92698621749878	NA
GTF3C2	6.82413137939	6.88460713624954	NA	6.14526534080505	NA	NA	NA	6.43677997589111	NA
GTF3C6	7.60414547344	7.35599136352539	NA	7.60175490379333	NA	NA	NA	7.58358979225159	NA
HARS2	6.00315244867	5.6879620552063	NA	5.27140426635742	NA	NA	NA	5.30779957771301	NA
HBS1L	6.91934008244	6.74948865175247	NA	6.51661717891693	NA	NA	NA	6.59273791313171	NA
HEIH	5.93002764088	6.67363274097443	NA	5.80836665630341	NA	NA	NA	5.91555547714233	NA
HMGA2	6.10076744957	10.2354480922222	NA	0.960226505994797	NA	NA	NA	4.31705896137282	NA
HMGB3	8.3927038072	9.01034390926361	NA	7.40930759906769	NA	NA	NA	7.95149707794189	NA
HMGN3	9.38394184246	8.40223199129105	NA	7.75942897796631	NA	NA	NA	7.97292065620422	NA
HNRNPA2B1	10.7755032886	10.8156238794327	NA	10.4253885746002	NA	NA	NA	10.5101375579834	NA
HNRNPAB	8.56666296296	8.63267982006073	NA	7.95982265472412	NA	NA	NA	8.56028366088867	NA
HNRNPC	10.2154237925	10.2030755281448	NA	9.935631275177	NA	NA	NA	10.2186679840088	NA
HNRNPH1	9.58918296704	10.5512786507607	NA	9.53145051002502	NA	NA	NA	9.5003707408905	NA
HOXA-AS2	6.61264737766	5.4067974537611	NA	4.03573546884581	NA	NA	NA	7.84962306451052	NA
HOXA9	5.99118168141	7.11105209589005	NA	1.08263783156872	NA	NA	NA	4.4874519109726	NA
HSPA4	7.47508488295	7.47138804197311	NA	6.87497889995575	NA	NA	NA	7.26443576812744	NA
HSPD1	9.11408066488	9.59205281734467	NA	8.53951978683472	NA	NA	NA	8.89767789840698	NA
HUWE1	7.26987472248	7.41859364509583	NA	7.07851088047028	NA	NA	NA	7.23720669746399	NA
IAH1	6.97796675762	7.26892900466919	NA	6.75642454624176	NA	NA	NA	6.656334400177	NA
ICT1	6.220716892	6.66575461626053	NA	6.07269930839539	NA	NA	NA	6.103440284729	NA
ID2	10.2943795138	9.53983479738235	NA	9.42077910900116	NA	NA	NA	9.48698925971985	NA
ID2-AS1	6.73470962023	2.35029301047325	NA	4.6349863409996	NA	NA	NA	4.67306452989578	NA
IK	7.60540543683	7.72522777318954	NA	7.45659828186035	NA	NA	NA	7.50454998016357	NA
ILF2	9.1953722074	8.81409031152725	NA	8.66309666633606	NA	NA	NA	9.09616088867188	NA
IMP4	7.5284150392800004	7.1675426363945	NA	6.86389183998108	NA	NA	NA	6.97446036338806	NA
INO80E	6.92017418243	6.96669548749924	NA	6.8088995218277	NA	NA	NA	6.83235335350037	NA
IPO4	6.62175885671	6.30526155233383	NA	5.44512605667114	NA	NA	NA	6.14959740638733	NA
KDM1A	7.67884658212	7.60734438896179	NA	7.56799006462097	NA	NA	NA	8.09020209312439	NA
KIAA0586	5.97177344719	4.6274431347847	NA	4.21950858831406	NA	NA	NA	4.34116899967194	NA
KRI1	6.11603199345	6.36806029081345	NA	5.84440660476685	NA	NA	NA	5.8813579082489	NA
LINC01420	6.5371407298	7.42284888029099	NA	5.9609569311142	NA	NA	NA	6.21282362937927	NA
LRCH4	7.10810622369	6.83830803632736	NA	6.39122450351715	NA	NA	NA	6.40012645721436	NA
LSM5	8.40160486971	7.74870878458023	NA	7.33290600776672	NA	NA	NA	7.94293236732483	NA
LSM8	6.63618957153	6.89655256271362	NA	6.19589495658875	NA	NA	NA	6.29623937606812	NA
LTV1	6.66505161429	6.12661218643188	NA	5.05407953262329	NA	NA	NA	5.27509891986847	NA
LYAR	5.80167602925	5.26266095042229	NA	4.66241663694382	NA	NA	NA	5.00036728382111	NA
MAD1L1	6.12515513132	7.661625623703	NA	5.67693936824799	NA	NA	NA	5.83922743797302	NA
