gene	measurement	pd_up1	pd_up2	pd_up3	pd_up4	outlier_threshold1	outlier_threshold2	outlier_threshold3	outlier_threshold4	accuracy_threshold1	accuracy_threshold2	accuracy_threshold3	accuracy_threshold4	percent_accurate_mean1	percent_accurate_mean2	percent_accurate_mean3	percent_accurate_mean4	percent_accurate_min1	percent_accurate_min2	percent_accurate_min3	percent_accurate_min4	percent_accurate_max1	percent_accurate_max2	percent_accurate_max3	percent_accurate_max4	percent_accurate1_S1	percent_accurate1_S2	percent_accurate1_S3	percent_accurate1_S4	percent_accurate1_S5	percent_accurate2_S1	percent_accurate2_S2	percent_accurate2_S3	percent_accurate2_S4	percent_accurate2_S5	percent_accurate3_S1	percent_accurate3_S2	percent_accurate3_S3	percent_accurate3_S4	percent_accurate3_S5	percent_accurate4_S1	percent_accurate4_S2	percent_accurate4_S3	percent_accurate4_S4	percent_accurate4_S5
CPSF2	6.02214584287	FALSE	TRUE	FALSE	TRUE	6.03849178552628	5.8835774064064	NA	5.93379366397858	NA	2.300981080152014	NA	1.4671212088964134	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CPSF3	7.26425492037	TRUE	TRUE	FALSE	TRUE	6.51578092575073	5.83630359172821	NA	6.2234525680542	10.303520496237585	19.65723042892689	NA	14.327723403500647	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CRABP2	9.85321597215	FALSE	TRUE	FALSE	TRUE	13.4733803272247	5.40419256687164	NA	8.2483286857605	NA	45.15300809251997	NA	16.28795401344795	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CTPS1	6.41193462479	FALSE	TRUE	FALSE	TRUE	7.06776696443558	5.92471408843994	NA	6.3170964717865	NA	7.5986510290724825	NA	1.4790879594566348	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CTSL	8.2630813678	FALSE	TRUE	FALSE	TRUE	11.1661690473557	8.13536953926086	NA	8.0284161567688	NA	1.545571474544753	NA	2.8399237595027778	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CXorf56	5.84423498776	TRUE	TRUE	FALSE	TRUE	5.47932833433151	5.02864617109299	NA	5.12688195705414	6.243873735274857	13.955441873489969	NA	12.27454118816687	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CYCS	8.85735900976	TRUE	TRUE	FALSE	TRUE	7.95882791280746	8.47497856616974	NA	8.32485842704773	10.144458364648429	4.317093200906849	NA	6.0119566354429494	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DACT1	6.63749432521	FALSE	TRUE	FALSE	TRUE	7.27343645691872	4.33375513553619	NA	5.06658905744553	NA	34.70796473488394	NA	23.667142912619653	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DAZAP1	6.69905184402	FALSE	TRUE	FALSE	TRUE	7.2963604927063	6.23930871486664	NA	6.46405529975891	NA	6.862808944578573	NA	3.5079075327781353	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DBNL	7.67969121016	FALSE	TRUE	FALSE	TRUE	7.84620529413223	7.46587300300598	NA	7.43898487091064	NA	2.7842031834710355	NA	3.13432314740614	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DDX10	5.75435307169	FALSE	TRUE	FALSE	TRUE	6.43694949150085	5.02518612146378	NA	5.51991820335388	NA	12.671571263389131	NA	4.07404386584274	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DDX18	6.63865311647	FALSE	TRUE	FALSE	TRUE	6.72815299034119	6.24646723270416	NA	6.41738247871399	NA	5.90761223527188	NA	3.333065214795658	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DDX19A	6.12515513132	TRUE	TRUE	FALSE	TRUE	6.01428598165512	5.96557402610779	NA	6.04217672348022	1.8100627214806049	2.605339812476216	NA	1.3547152041175692	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DDX19B	6.07103324446	FALSE	TRUE	FALSE	TRUE	6.11007887125015	5.94635879993439	NA	5.91257047653198	NA	2.053595154323673	NA	2.6101449546932063	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DDX27	6.17132694023	FALSE	TRUE	FALSE	TRUE	6.65240639448166	5.73685598373413	NA	5.96657800674438	NA	7.040154584318261	NA	3.3177456885469923	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DDX5	10.1559945647	FALSE	TRUE	FALSE	TRUE	10.3256099820137	9.78945541381836	NA	9.84363865852356	NA	3.609091640868441	NA	3.075581659546383	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DDX56	7.29865831556	FALSE	TRUE	FALSE	TRUE	7.58347314596176	7.29351496696472	NA	7.29247951507568	NA	0.07046978188189734	NA	0.08465666177504681	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DES	8.09645162448	FALSE	TRUE	FALSE	TRUE	20.5186583697796	5.50215236097574	NA	7.39571748673916	NA	32.042422827060136	NA	8.65483016809657	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
